"DATE","TIME PERIOD","(LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T)"
"2000-01-31","2000Jan","9.438549"
"2000-02-29","2000Feb","9.352574"
"2000-03-31","2000Mar","9.261294"
"2000-04-30","2000Apr","9.176869"
"2000-05-31","2000May","9.125075"
"2000-06-30","2000Jun","9.083749"
"2000-07-31","2000Jul","9.037414"
"2000-08-31","2000Aug","8.981713"
"2000-09-30","2000Sep","8.927972"
"2000-10-31","2000Oct","8.819384"
"2000-11-30","2000Nov","8.756733"
"2000-12-31","2000Dec","8.678365"
"2001-01-31","2001Jan","8.572028"
"2001-02-28","2001Feb","8.534133"
"2001-03-31","2001Mar","8.491238"
"2001-04-30","2001Apr","8.469317"
"2001-05-31","2001May","8.487015"
"2001-06-30","2001Jun","8.461390"
"2001-07-31","2001Jul","8.454903"
"2001-08-31","2001Aug","8.473361"
"2001-09-30","2001Sep","8.498596"
"2001-10-31","2001Oct","8.525160"
"2001-11-30","2001Nov","8.558510"
"2001-12-31","2001Dec","8.570620"
"2002-01-31","2002Jan","8.561154"
"2002-02-28","2002Feb","8.605734"
"2002-03-31","2002Mar","8.576619"
"2002-04-30","2002Apr","8.636456"
"2002-05-31","2002May","8.665864"
"2002-06-30","2002Jun","8.700566"
"2002-07-31","2002Jul","8.771866"
"2002-08-31","2002Aug","8.814252"
"2002-09-30","2002Sep","8.855723"
"2002-10-31","2002Oct","8.890992"
"2002-11-30","2002Nov","8.943242"
"2002-12-31","2002Dec","9.014596"
"2003-01-31","2003Jan","9.088395"
"2003-02-28","2003Feb","9.115783"
"2003-03-31","2003Mar","9.174265"
"2003-04-30","2003Apr","9.170100"
"2003-05-31","2003May","9.184129"
"2003-06-30","2003Jun","9.237116"
"2003-07-31","2003Jul","9.205199"
"2003-08-31","2003Aug","9.167475"
"2003-09-30","2003Sep","9.201584"
"2003-10-31","2003Oct","9.201052"
"2003-11-30","2003Nov","9.215974"
"2003-12-31","2003Dec","9.292726"
"2004-01-31","2004Jan","9.385060"
"2004-02-29","2004Feb","9.391078"
"2004-03-31","2004Mar","9.441034"
"2004-04-30","2004Apr","9.427756"
"2004-05-31","2004May","9.406834"
"2004-06-30","2004Jun","9.355995"
"2004-07-31","2004Jul","9.353520"
"2004-08-31","2004Aug","9.369236"
"2004-09-30","2004Sep","9.433970"
"2004-10-31","2004Oct","9.426156"
"2004-11-30","2004Nov","9.430758"
"2004-12-31","2004Dec","9.361767"
"2005-01-31","2005Jan","9.290525"
"2005-02-28","2005Feb","9.290788"
"2005-03-31","2005Mar","9.289377"
"2005-04-30","2005Apr","9.367398"
"2005-05-31","2005May","9.304549"
"2005-06-30","2005Jun","9.316780"
"2005-07-31","2005Jul","9.234115"
"2005-08-31","2005Aug","9.167187"
"2005-09-30","2005Sep","9.194204"
"2005-10-31","2005Oct","9.171887"
"2005-11-30","2005Nov","9.102392"
"2005-12-31","2005Dec","9.051655"
"2006-01-31","2006Jan","8.970941"
"2006-02-28","2006Feb","8.916479"
"2006-03-31","2006Mar","8.815068"
"2006-04-30","2006Apr","8.706098"
"2006-05-31","2006May","8.624627"
"2006-06-30","2006Jun","8.501007"
"2006-07-31","2006Jul","8.414556"
"2006-08-31","2006Aug","8.393037"
"2006-09-30","2006Sep","8.309884"
"2006-10-31","2006Oct","8.238617"
"2006-11-30","2006Nov","8.165544"
"2006-12-31","2006Dec","8.046800"
"2007-01-31","2007Jan","7.995125"
"2007-02-28","2007Feb","7.911381"
"2007-03-31","2007Mar","7.813828"
"2007-04-30","2007Apr","7.690675"
"2007-05-31","2007May","7.667602"
"2007-06-30","2007Jun","7.593375"
"2007-07-31","2007Jul","7.638412"
"2007-08-31","2007Aug","7.583326"
"2007-09-30","2007Sep","7.517170"
"2007-10-31","2007Oct","7.473262"
"2007-11-30","2007Nov","7.423284"
"2007-12-31","2007Dec","7.449651"
"2008-01-31","2008Jan","7.416245"
"2008-02-29","2008Feb","7.373230"
"2008-03-31","2008Mar","7.346525"
"2008-04-30","2008Apr","7.459607"
"2008-05-31","2008May","7.506721"
"2008-06-30","2008Jun","7.591458"
"2008-07-31","2008Jul","7.587587"
"2008-08-31","2008Aug","7.666616"
"2008-09-30","2008Sep","7.753727"
"2008-10-31","2008Oct","7.882034"
"2008-11-30","2008Nov","8.105607"
"2008-12-31","2008Dec","8.361436"
"2009-01-31","2009Jan","8.747680"
"2009-02-28","2009Feb","9.053735"
"2009-03-31","2009Mar","9.340385"
"2009-04-30","2009Apr","9.505028"
"2009-05-31","2009May","9.613420"
"2009-06-30","2009Jun","9.697066"
"2009-07-31","2009Jul","9.795417"
"2009-08-31","2009Aug","9.863841"
"2009-09-30","2009Sep","9.999766"
"2009-10-31","2009Oct","10.082835"
"2009-11-30","2009Nov","10.146671"
"2009-12-31","2009Dec","10.148871"
"2010-01-31","2010Jan","10.245824"
"2010-02-28","2010Feb","10.281163"
"2010-03-31","2010Mar","10.275767"
"2010-04-30","2010Apr","10.356930"
"2010-05-31","2010May","10.345609"
"2010-06-30","2010Jun","10.314848"
"2010-07-31","2010Jul","10.251833"
"2010-08-31","2010Aug","10.222227"
"2010-09-30","2010Sep","10.235836"
"2010-10-31","2010Oct","10.265081"
"2010-11-30","2010Nov","10.196614"
"2010-12-31","2010Dec","10.200334"
"2011-01-31","2011Jan","10.149915"
"2011-02-28","2011Feb","10.117521"
"2011-03-31","2011Mar","10.098187"
"2011-04-30","2011Apr","10.024057"
"2011-05-31","2011May","10.090496"
"2011-06-30","2011Jun","10.121983"
"2011-07-31","2011Jul","10.238657"
"2011-08-31","2011Aug","10.345095"
"2011-09-30","2011Sep","10.460753"
"2011-10-31","2011Oct","10.567154"
"2011-11-30","2011Nov","10.709952"
"2011-12-31","2011Dec","10.822492"
"2012-01-31","2012Jan","10.872417"
"2012-02-29","2012Feb","11.042349"
"2012-03-31","2012Mar","11.218290"
"2012-04-30","2012Apr","11.324223"
"2012-05-31","2012May","11.385437"
"2012-06-30","2012Jun","11.492645"
"2012-07-31","2012Jul","11.560191"
"2012-08-31","2012Aug","11.602113"
"2012-09-30","2012Sep","11.717906"
"2012-10-31","2012Oct","11.867474"
"2012-11-30","2012Nov","11.989704"
"2012-12-31","2012Dec","12.024182"
